package,license_url,spdx
github.com/prometheus/client_golang/internal/github.com/golang/gddo/httputil,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/prometheus/client_golang/internal/github.com/golang/gddo/LICENSE,BSD-3-Clause
github.com/prometheus/client_golang/prometheus,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/prometheus/client_golang/LICENSE,Apache-2.0
github.com/prometheus/client_model/go,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/prometheus/client_model/LICENSE,Apache-2.0
github.com/prometheus/common,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/prometheus/common/LICENSE,Apache-2.0
github.com/prometheus/procfs,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/prometheus/procfs/LICENSE,Apache-2.0
github.com/quic-go/quic-go,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/quic-go/quic-go/LICENSE,MIT
github.com/chungthuang/quic-go,https://github.com/chungthuang/quic-go/blob/a9fddf436fc41fcff5e5dd9ccee0fe0dcd71b59c/LICENSE,MIT
github.com/rs/zerolog,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/rs/zerolog/LICENSE,MIT
github.com/russross/blackfriday/v2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/russross/blackfriday/v2/LICENSE.txt,BSD-2-Clause
github.com/shirou/gopsutil/v4,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/shirou/gopsutil/v4/LICENSE,BSD-3-Clause
github.com/tklauser/go-sysconf,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/tklauser/go-sysconf/LICENSE,BSD-3-Clause
github.com/tklauser/numcpus,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/tklauser/numcpus/LICENSE,Apache-2.0
github.com/urfave/cli/v2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/github.com/urfave/cli/v2/LICENSE,MIT
github.com/ipostelnik/cli/v2,https://github.com/ipostelnik/cli/blob/b6ea8234fe3daa46f5f1777d141b30eb091c2469/LICENSE,MIT
go.opentelemetry.io/auto/sdk,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/auto/sdk/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/propagators/jaeger,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/contrib/propagators/LICENSE,Apache-2.0
go.opentelemetry.io/otel,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/otel/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/otel/exporters/otlp/otlptrace/LICENSE,Apache-2.0
go.opentelemetry.io/otel/metric,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/otel/metric/LICENSE,Apache-2.0
go.opentelemetry.io/otel/sdk,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/otel/sdk/LICENSE,Apache-2.0
go.opentelemetry.io/otel/trace,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/otel/trace/LICENSE,Apache-2.0
go.opentelemetry.io/proto/otlp,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.opentelemetry.io/proto/otlp/LICENSE,Apache-2.0
go.uber.org/automaxprocs,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/go.uber.org/automaxprocs/LICENSE,MIT
golang.org/x/crypto,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/crypto/LICENSE,BSD-3-Clause
golang.org/x/net,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/net/LICENSE,BSD-3-Clause
golang.org/x/oauth2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/oauth2/LICENSE,BSD-3-Clause
golang.org/x/sync/errgroup,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/sync/LICENSE,BSD-3-Clause
golang.org/x/sys,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/sys/LICENSE,BSD-3-Clause
golang.org/x/term,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/term/LICENSE,BSD-3-Clause
golang.org/x/text,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/golang.org/x/text/LICENSE,BSD-3-Clause
google.golang.org/genproto/googleapis/api/httpbody,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/google.golang.org/genproto/googleapis/api/LICENSE,Apache-2.0
google.golang.org/genproto/googleapis/rpc/status,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/google.golang.org/genproto/googleapis/rpc/LICENSE,Apache-2.0
google.golang.org/grpc,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/google.golang.org/grpc/LICENSE,Apache-2.0
google.golang.org/protobuf,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/google.golang.org/protobuf/LICENSE,BSD-3-Clause
gopkg.in/natefinch/lumberjack.v2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/gopkg.in/natefinch/lumberjack.v2/LICENSE,MIT
gopkg.in/yaml.v2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/gopkg.in/yaml.v2/LICENSE,Apache-2.0 AND MIT
gopkg.in/yaml.v3,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/gopkg.in/yaml.v3/LICENSE,Apache-2.0 AND MIT
nhooyr.io/websocket,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/nhooyr.io/websocket/LICENSE.txt,MIT
zombiezen.com/go/capnproto2,https://github.com/cloudflare/cloudflared/blob/b4f47e2ab538ab6e31d3dc6adc5489455ad446de/vendor/zombiezen.com/go/capnproto2/LICENSE,MIT
